127.0.0.1 - - [21/Jun/2014:10:15:36 -0500] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [21/Jun/2014:10:15:44 -0500] "GET /sdsr/WEB-INF/classes/dao/spec/IAbstractMapper.java HTTP/1.1" 404 959
0:0:0:0:0:0:0:1 - - [21/Jun/2014:10:15:45 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [21/Jun/2014:10:15:45 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [21/Jun/2014:10:16:09 -0500] "GET /sdsr/index.jsp HTTP/1.1" 200 223
0:0:0:0:0:0:0:1 - - [21/Jun/2014:10:16:09 -0500] "GET /sdsr/css/foundation.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2014:10:16:09 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [21/Jun/2014:10:16:09 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [21/Jun/2014:10:17:16 -0500] "GET /sdsr/login.jsp HTTP/1.1" 200 795
0:0:0:0:0:0:0:1 - - [21/Jun/2014:10:17:16 -0500] "GET /sdsr/css/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2014:10:17:31 -0500] "POST /sdsr/LoginIngreso HTTP/1.1" 200 873
0:0:0:0:0:0:0:1 - - [21/Jun/2014:10:19:26 -0500] "POST /sdsr/LoginIngreso HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [21/Jun/2014:10:19:33 -0500] "POST /sdsr/LoginIngreso HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [21/Jun/2014:10:50:26 -0500] "GET /sdsr/ HTTP/1.1" 200 223
0:0:0:0:0:0:0:1 - - [21/Jun/2014:10:50:26 -0500] "GET /sdsr/css/foundation.css HTTP/1.1" 200 38770
0:0:0:0:0:0:0:1 - - [21/Jun/2014:10:50:44 -0500] "GET /sdsr/index.jsp HTTP/1.1" 200 223
0:0:0:0:0:0:0:1 - - [21/Jun/2014:10:50:44 -0500] "GET /sdsr/css/foundation.css HTTP/1.1" 200 38770
