127.0.0.1 - - [17/Jul/2014:14:18:32 -0500] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [17/Jul/2014:14:18:40 -0500] "GET /sdsr/index.jsp HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [17/Jul/2014:14:18:40 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [17/Jul/2014:14:18:40 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [17/Jul/2014:14:18:46 -0500] "GET /sdsr/login.jsp HTTP/1.1" 200 816
0:0:0:0:0:0:0:1 - - [17/Jul/2014:14:19:23 -0500] "POST /sdsr/LoginIngreso HTTP/1.1" 200 845
0:0:0:0:0:0:0:1 - - [17/Jul/2014:14:22:45 -0500] "GET /sdsr/index.jsp HTTP/1.1" 200 469
0:0:0:0:0:0:0:1 - - [17/Jul/2014:14:22:45 -0500] "GET /sdsr/js/jquery-2.1.1.min.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [17/Jul/2014:14:22:46 -0500] "POST /sdsr/ListaPedido HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [17/Jul/2014:14:22:46 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [17/Jul/2014:14:22:46 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [17/Jul/2014:14:22:47 -0500] "GET /sdsr/login.jsp HTTP/1.1" 200 816
0:0:0:0:0:0:0:1 - - [17/Jul/2014:14:23:15 -0500] "POST /sdsr/LoginIngreso HTTP/1.1" 200 552
0:0:0:0:0:0:0:1 - - [17/Jul/2014:14:23:15 -0500] "GET /sdsr/js/jquery-2.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2014:14:23:15 -0500] "POST /sdsr/ListaPedido HTTP/1.1" 404 993
0:0:0:0:0:0:0:1 - - [17/Jul/2014:14:23:25 -0500] "GET /sdsr/home.jsp HTTP/1.1" 200 287
0:0:0:0:0:0:0:1 - - [17/Jul/2014:14:25:53 -0500] "GET /sdsr/index.jsp HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [17/Jul/2014:14:25:53 -0500] "GET /sdsr/js/jquery-2.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2014:14:25:53 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [17/Jul/2014:14:25:53 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [17/Jul/2014:14:25:56 -0500] "GET /sdsr/login.jsp HTTP/1.1" 200 816
0:0:0:0:0:0:0:1 - - [17/Jul/2014:14:26:17 -0500] "POST /sdsr/LoginIngreso HTTP/1.1" 200 564
0:0:0:0:0:0:0:1 - - [17/Jul/2014:14:35:38 -0500] "GET /sdsr/index.jsp HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [17/Jul/2014:14:35:39 -0500] "GET /sdsr/js/jquery-2.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2014:14:35:39 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [17/Jul/2014:14:35:39 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [17/Jul/2014:14:35:41 -0500] "GET /sdsr/login.jsp HTTP/1.1" 200 816
0:0:0:0:0:0:0:1 - - [17/Jul/2014:14:35:48 -0500] "POST /sdsr/LoginIngreso HTTP/1.1" 200 564
0:0:0:0:0:0:0:1 - - [17/Jul/2014:14:35:53 -0500] "GET /sdsr/home.jsp HTTP/1.1" 200 287
0:0:0:0:0:0:0:1 - - [17/Jul/2014:15:54:51 -0500] "GET /sdsr/Cabecera.jsp HTTP/1.1" 200 1355
0:0:0:0:0:0:0:1 - - [17/Jul/2014:15:54:51 -0500] "GET /sdsr/css/reset.css HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [17/Jul/2014:15:54:51 -0500] "GET /sdsr/css/layout.css HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [17/Jul/2014:15:54:51 -0500] "GET /sdsr/js/Forum_400.font.js HTTP/1.1" 404 1011
